Total mapped characters: 362
Code: 0xe4f2, Name: gid58610
Code: 0xe4f3, Name: gid58611
Code: 0xe4f4, Name: gid58612
Code: 0xe4f5, Name: gid58613
Code: 0xe4f6, Name: gid58614
Code: 0xe4f7, Name: gid58615
Code: 0xe4f8, Name: gid58616
Code: 0xe4f9, Name: gid58617
Code: 0xe4fa, Name: gid58618
Code: 0xe4fb, Name: gid58619
Code: 0xe4fc, Name: gid58620
Code: 0xe4fd, Name: gid58621
Code: 0xe4fe, Name: gid58622
Code: 0xe4ff, Name: gid58623
Code: 0xe500, Name: gid58624
Code: 0xe501, Name: gid58625
Code: 0xe502, Name: gid58626
Code: 0xe503, Name: gid58627
Code: 0xe504, Name: gid58628
Code: 0xe505, Name: gid58629
Code: 0xe506, Name: gid58630
Code: 0xe507, Name: gid58631
Code: 0xe508, Name: gid58632
Code: 0xe509, Name: gid58633
Code: 0xe50a, Name: gid58634
Code: 0xe50b, Name: gid58635
Code: 0xe50c, Name: gid58636
Code: 0xe50d, Name: gid58637
Code: 0xe50e, Name: gid58638
Code: 0xe50f, Name: gid58639
Code: 0xe510, Name: gid58640
Code: 0xe511, Name: gid58641
Code: 0xe512, Name: gid58642
Code: 0xe513, Name: gid58643
Code: 0xe514, Name: gid58644
Code: 0xe515, Name: gid58645
Code: 0xe516, Name: gid58646
Code: 0xe517, Name: gid58647
Code: 0xe518, Name: gid58648
Code: 0xe519, Name: gid58649
Code: 0xe51b, Name: gid58651
Code: 0xe51c, Name: gid58652
Code: 0xe51d, Name: gid58653
Code: 0xe51e, Name: gid58654
Code: 0xe520, Name: gid58656
Code: 0xe521, Name: gid58657
Code: 0xe522, Name: gid58658
Code: 0xe523, Name: gid58659
Code: 0xe524, Name: gid58660
Code: 0xe525, Name: gid58661
Code: 0xe526, Name: gid58662
Code: 0xe527, Name: gid58663
Code: 0xe528, Name: gid58664
Code: 0xe529, Name: gid58665
Code: 0xe52a, Name: gid58666
Code: 0xe52b, Name: gid58667
Code: 0xe52c, Name: gid58668
Code: 0xe52d, Name: gid58669
Code: 0xe52e, Name: gid58670
Code: 0xe52f, Name: gid58671
Code: 0xe530, Name: gid58672
Code: 0xe531, Name: gid58673
Code: 0xe532, Name: gid58674
Code: 0xe533, Name: gid58675
Code: 0xe534, Name: gid58676
Code: 0xe535, Name: gid58677
Code: 0xe536, Name: gid58678
Code: 0xe537, Name: gid58679
Code: 0xe538, Name: gid58680
Code: 0xe539, Name: gid58681
Code: 0xe53a, Name: gid58682
Code: 0xe53b, Name: gid58683
Code: 0xe53c, Name: gid58684
Code: 0xe53d, Name: gid58685
Code: 0xe53e, Name: gid58686
Code: 0xe53f, Name: gid58687
Code: 0xe540, Name: gid58688
Code: 0xe541, Name: gid58689
Code: 0xe542, Name: gid58690
Code: 0xe543, Name: gid58691
Code: 0xe544, Name: gid58692
Code: 0xe545, Name: gid58693
Code: 0xe546, Name: gid58694
Code: 0xe547, Name: gid58695
Code: 0xe548, Name: gid58696
Code: 0xe549, Name: gid58697
Code: 0xe54a, Name: gid58698
Code: 0xe54b, Name: gid58699
Code: 0xe54c, Name: gid58700
Code: 0xe54d, Name: gid58701
Code: 0xe54e, Name: gid58702
Code: 0xe54f, Name: gid58703
Code: 0xe550, Name: gid58704
Code: 0xe551, Name: gid58705
Code: 0xe552, Name: gid58706
Code: 0xe553, Name: gid58707
Code: 0xe554, Name: gid58708
Code: 0xe555, Name: gid58709
Code: 0xe556, Name: gid58710
Code: 0xe557, Name: gid58711
Code: 0xe558, Name: gid58712
Code: 0xe559, Name: gid58713
Code: 0xe55a, Name: gid58714
Code: 0xe55b, Name: gid58715
